c_gender,c_age,k_disease,c_socioeconomic,c_education,v_obs,v_weights,k_allocator,v_characteristica
Mand,18-49 år,adhd,Udenfor,Ufaglært,3634,.078290284,Aktiv,0
Mand,18-49 år,adhd,Udenfor,Ufaglært,3634,.078290284,Alder,27.899559
Mand,18-49 år,adhd,Udenfor,Ufaglært,3634,.078290284,Faglært,0
Mand,18-49 år,adhd,Udenfor,Ufaglært,3634,.078290284,Inaktiv,0
Mand,18-49 år,adhd,Udenfor,Ufaglært,3634,.078290284,Kvinde,0
Mand,18-49 år,adhd,Udenfor,Ufaglært,3634,.078290284,Udenfor,1
Mand,18-49 år,adhd,Udenfor,Ufaglært,3634,.078290284,Ufaglært,1
Mand,18-49 år,adhd,Udenfor,Ufaglært,3634,.078290284,Videregående uddannelse,0
Mand,18-49 år,adhd,Inaktiv,Ufaglært,8966,.19316199,Aktiv,0
Mand,18-49 år,adhd,Inaktiv,Ufaglært,8966,.19316199,Alder,26.103502
Mand,18-49 år,adhd,Inaktiv,Ufaglært,8966,.19316199,Faglært,0
Mand,18-49 år,adhd,Inaktiv,Ufaglært,8966,.19316199,Inaktiv,1
Mand,18-49 år,adhd,Inaktiv,Ufaglært,8966,.19316199,Kvinde,0
Mand,18-49 år,adhd,Inaktiv,Ufaglært,8966,.19316199,Udenfor,0
Mand,18-49 år,adhd,Inaktiv,Ufaglært,8966,.19316199,Ufaglært,1
Mand,18-49 år,adhd,Inaktiv,Ufaglært,8966,.19316199,Videregående uddannelse,0
Mand,18-49 år,adhd,Aktiv,Ufaglært,3461,.074563198,Aktiv,1
Mand,18-49 år,adhd,Aktiv,Ufaglært,3461,.074563198,Alder,28.451603
Mand,18-49 år,adhd,Aktiv,Ufaglært,3461,.074563198,Faglært,0
Mand,18-49 år,adhd,Aktiv,Ufaglært,3461,.074563198,Inaktiv,0
Mand,18-49 år,adhd,Aktiv,Ufaglært,3461,.074563198,Kvinde,0
Mand,18-49 år,adhd,Aktiv,Ufaglært,3461,.074563198,Udenfor,0
Mand,18-49 år,adhd,Aktiv,Ufaglært,3461,.074563198,Ufaglært,1
Mand,18-49 år,adhd,Aktiv,Ufaglært,3461,.074563198,Videregående uddannelse,0
Mand,18-49 år,adhd,Udenfor,Faglært,467,.010060969,Aktiv,0
Mand,18-49 år,adhd,Udenfor,Faglært,467,.010060969,Alder,39.867237
Mand,18-49 år,adhd,Udenfor,Faglært,467,.010060969,Faglært,1
Mand,18-49 år,adhd,Udenfor,Faglært,467,.010060969,Inaktiv,0
Mand,18-49 år,adhd,Udenfor,Faglært,467,.010060969,Kvinde,0
Mand,18-49 år,adhd,Udenfor,Faglært,467,.010060969,Udenfor,1
Mand,18-49 år,adhd,Udenfor,Faglært,467,.010060969,Ufaglært,0
Mand,18-49 år,adhd,Udenfor,Faglært,467,.010060969,Videregående uddannelse,0
Mand,18-49 år,adhd,Inaktiv,Faglært,1752,.03774479,Aktiv,0
Mand,18-49 år,adhd,Inaktiv,Faglært,1752,.03774479,Alder,34.169521
Mand,18-49 år,adhd,Inaktiv,Faglært,1752,.03774479,Faglært,1
Mand,18-49 år,adhd,Inaktiv,Faglært,1752,.03774479,Inaktiv,1
Mand,18-49 år,adhd,Inaktiv,Faglært,1752,.03774479,Kvinde,0
Mand,18-49 år,adhd,Inaktiv,Faglært,1752,.03774479,Udenfor,0
Mand,18-49 år,adhd,Inaktiv,Faglært,1752,.03774479,Ufaglært,0
