c_gender,c_age,k_disease,c_socioeconomic,c_education,v_obs,v_weights,k_allocator,v_characteristica
Mand,18-49 år,skizofreni,Udenfor,Ufaglært,5473,.1839602,Aktiv,0
Mand,18-49 år,skizofreni,Udenfor,Ufaglært,5473,.1839602,Alder,35.9757
Mand,18-49 år,skizofreni,Udenfor,Ufaglært,5473,.1839602,Faglært,0
Mand,18-49 år,skizofreni,Udenfor,Ufaglært,5473,.1839602,Inaktiv,0
Mand,18-49 år,skizofreni,Udenfor,Ufaglært,5473,.1839602,Kvinde,0
Mand,18-49 år,skizofreni,Udenfor,Ufaglært,5473,.1839602,Udenfor,1
Mand,18-49 år,skizofreni,Udenfor,Ufaglært,5473,.1839602,Ufaglært,1
Mand,18-49 år,skizofreni,Udenfor,Ufaglært,5473,.1839602,Videregående uddannelse,0
Mand,18-49 år,skizofreni,Inaktiv,Ufaglært,3430,.11529024,Aktiv,0
Mand,18-49 år,skizofreni,Inaktiv,Ufaglært,3430,.11529024,Alder,27.236151
Mand,18-49 år,skizofreni,Inaktiv,Ufaglært,3430,.11529024,Faglært,0
Mand,18-49 år,skizofreni,Inaktiv,Ufaglært,3430,.11529024,Inaktiv,1
Mand,18-49 år,skizofreni,Inaktiv,Ufaglært,3430,.11529024,Kvinde,0
Mand,18-49 år,skizofreni,Inaktiv,Ufaglært,3430,.11529024,Udenfor,0
Mand,18-49 år,skizofreni,Inaktiv,Ufaglært,3430,.11529024,Ufaglært,1
Mand,18-49 år,skizofreni,Inaktiv,Ufaglært,3430,.11529024,Videregående uddannelse,0
Mand,18-49 år,skizofreni,Aktiv,Ufaglært,372,.012503781,Aktiv,1
Mand,18-49 år,skizofreni,Aktiv,Ufaglært,372,.012503781,Alder,30.60215
Mand,18-49 år,skizofreni,Aktiv,Ufaglært,372,.012503781,Faglært,0
Mand,18-49 år,skizofreni,Aktiv,Ufaglært,372,.012503781,Inaktiv,0
Mand,18-49 år,skizofreni,Aktiv,Ufaglært,372,.012503781,Kvinde,0
Mand,18-49 år,skizofreni,Aktiv,Ufaglært,372,.012503781,Udenfor,0
Mand,18-49 år,skizofreni,Aktiv,Ufaglært,372,.012503781,Ufaglært,1
Mand,18-49 år,skizofreni,Aktiv,Ufaglært,372,.012503781,Videregående uddannelse,0
Mand,18-49 år,skizofreni,Udenfor,Faglært,1027,.034519847,Aktiv,0
Mand,18-49 år,skizofreni,Udenfor,Faglært,1027,.034519847,Alder,41.659203
Mand,18-49 år,skizofreni,Udenfor,Faglært,1027,.034519847,Faglært,1
